Date,Not indexed,Indexed,Impressions
2026-03-08,,,0
2026-03-09,,,0
2026-03-10,20,1,0
2026-03-11,20,1,1
2026-03-12,20,1,1
2026-03-13,20,1,0
2026-03-14,20,1,0
2026-03-15,20,1,0
2026-03-16,20,1,0
2026-03-17,20,1,0
2026-03-18,20,1,0
2026-03-19,20,1,0
2026-03-20,20,1,0
2026-03-21,20,1,0
2026-03-22,12,10,9
2026-03-23,12,10,0
2026-03-24,12,10,1
2026-03-25,3,10,1
2026-03-26,3,10,24
2026-03-27,3,10,5
2026-03-28,3,10,5
2026-03-29,3,10,0
2026-03-30,3,10,3
2026-03-31,3,10,0
2026-04-01,3,10,0
2026-04-02,3,10,9
2026-04-03,3,10,2
2026-04-04,3,10,1
2026-04-05,3,10,0
2026-04-06,3,10,1
2026-04-07,3,10,1
2026-04-08,3,10,0
2026-04-09,3,10,17
2026-04-10,3,10,0
