Date,Clicks,Impressions,CTR,Position
2026-03-08,0,0,,
2026-03-09,0,0,,
2026-03-10,0,0,,
2026-03-11,0,1,0%,5
2026-03-12,0,1,0%,1
2026-03-13,0,0,,
2026-03-14,0,0,,
2026-03-15,0,0,,
2026-03-16,0,0,,
2026-03-17,0,0,,
2026-03-18,0,0,,
2026-03-19,0,0,,
2026-03-20,0,0,,
2026-03-21,0,0,,
2026-03-22,0,9,0%,1
2026-03-23,0,0,,
2026-03-24,0,1,0%,88
2026-03-25,0,1,0%,89
2026-03-26,0,24,0%,83.9
2026-03-27,0,5,0%,87.2
2026-03-28,0,5,0%,90.2
2026-03-29,0,0,,
2026-03-30,0,3,0%,85.3
2026-03-31,0,0,,
2026-04-01,0,0,,
2026-04-02,0,9,0%,82.4
2026-04-03,0,2,0%,80
2026-04-04,1,1,100%,150
2026-04-05,0,0,,
2026-04-06,0,1,0%,90
2026-04-07,0,1,0%,80
2026-04-08,0,0,,
2026-04-09,0,17,0%,84.1
2026-04-10,0,0,,
2026-04-11,0,3,0%,29
2026-04-12,0,0,,
2026-04-13,0,0,,
2026-04-14,0,1,0%,86
2026-04-15,0,0,,
2026-04-16,0,2,0%,90.5
2026-04-17,0,1,0%,82
2026-04-18,0,0,,
2026-04-19,0,1,0%,87
2026-04-20,0,2,0%,81
2026-04-21,0,1,0%,90
2026-04-22,0,0,,
2026-04-23,0,3,0%,90
2026-04-24,0,0,,
2026-04-25,0,1,0%,4
2026-04-26,0,1,0%,64
2026-04-27,0,0,,
2026-04-28,0,3,0%,86
2026-04-29,0,2,0%,161.5
2026-04-30,0,2,0%,84
2026-05-01,0,1,0%,187
2026-05-02,0,2,0%,84
2026-05-03,0,1,0%,92
2026-05-04,0,0,,
2026-05-05,0,2,0%,84
2026-05-06,0,0,,
2026-05-07,0,5,0%,83
2026-05-08,0,1,0%,94
2026-05-09,0,3,0%,88.3
2026-05-10,0,3,0%,93
2026-05-11,0,9,0%,87
2026-05-12,0,6,0%,96.3
2026-05-13,0,8,0%,74.9
2026-05-14,0,9,0%,80.7
2026-05-15,0,3,0%,95.3
2026-05-16,0,3,0%,87.3
2026-05-17,0,7,0%,91
2026-05-18,0,13,0%,91.7
2026-05-19,0,8,0%,86.1
